,C&R,DOR,EOB Payment,EOB Zero,Electronic Card Payment,Minutes of Hearing,NOR - External,Notice of Appearance,Notice of Claim Denial,Notice of Hearing,Other,Other DocsCF,Other DocsFR,Request for Documents
C&R,2,2,0,2,0,6,1,0,2,4,10,1,0,3
DOR,2,5,0,1,0,5,3,0,0,7,7,2,0,0
EOB Payment,0,0,31,32,0,0,0,0,0,1,0,0,0,0
EOB Zero,1,1,18,663,2,5,4,0,0,5,11,2,0,4
Electronic Card Payment,0,0,0,2,24,0,0,0,0,0,0,0,0,0
Minutes of Hearing,6,8,1,7,0,33,13,0,2,32,22,1,2,8
NOR - External,2,3,1,4,0,12,14,0,0,11,11,0,0,1
Notice of Appearance,0,0,0,0,0,1,0,45,0,0,0,0,0,0
Notice of Claim Denial,0,0,0,1,0,0,1,0,3,0,6,2,1,3
Notice of Hearing,0,8,0,4,0,35,6,0,0,284,18,1,0,5
Other,9,6,0,19,1,19,12,0,6,22,112,2,4,4
Other DocsCF,0,0,1,1,0,0,1,0,0,3,11,3,1,1
Other DocsFR,0,1,0,2,0,1,0,0,1,0,10,0,1,1
Request for Documents,4,0,0,9,0,11,0,0,0,6,3,1,0,8
