Received Date,AI Uploading Admin,Minhal Haider,Mustafa Kamal,others
5/10/2024 12:47,0,192,0,0
5/6/2024 10:50,0,0,316,0
5/6/2024 12:53,0,664,0,0
5/6/2024 13:35,189,0,0,0
5/6/2024 14:23,0,262,486,0
5/7/2024 12:50,0,315,0,0
5/7/2024 13:51,0,0,505,0
5/8/2024 12:00,0,265,0,0
5/8/2024 12:03,0,598,0,0
5/8/2024 12:26,0,0,112,0
5/8/2024 12:37,0,144,157,0
5/8/2024 13:26,0,0,570,0
5/9/2024 12:25,0,232,83,0
5/9/2024 12:52,0,262,392,0
5/9/2024 13:03,0,253,0,0
5/9/2024 13:58,0,0,780,0
Other,0,28,264,0
others,0,0,0,1
